objectid,classification,endyear,medium,title,uuid,iiifurl,iiifthumburl,width,height,maxpixels,created
137855,Photograph,1900-1920,gum dichromate over platinum print processed with mercury,"Columbia University, Night",81de77fd-13a5-4711-8f08-0484ee97265e,https://api.nga.gov/iiif/81de77fd-13a5-4711-8f08-0484ee97265e,"https://api.nga.gov/iiif/81de77fd-13a5-4711-8f08-0484ee97265e/full/!200,200/0/default.jpg",3842,4770,640.0,2009-02-20 09:34:35-05
133221,Photograph,1900-1920,gelatin silver print,Untitled (Two women looking in mirror),50fdd8d9-4088-4d63-94a4-cbc94e15fc93,https://api.nga.gov/iiif/50fdd8d9-4088-4d63-94a4-cbc94e15fc93,"https://api.nga.gov/iiif/50fdd8d9-4088-4d63-94a4-cbc94e15fc93/full/!200,200/0/default.jpg",4918,2778,,2006-06-02 09:21:58-04
134961,Photograph,1900-1920,gelatin silver print,"""Bess""",b8a6e38c-8404-40b5-8895-3563654f9998,https://api.nga.gov/iiif/b8a6e38c-8404-40b5-8895-3563654f9998,"https://api.nga.gov/iiif/b8a6e38c-8404-40b5-8895-3563654f9998/full/!200,200/0/default.jpg",2697,4179,,2011-01-31 15:34:33-05
135027,Photograph,1900-1920,gelatin silver print,"""Coming In and Going Out  What do you think of us The 2 Paulines""",083e8aa9-3cfb-4040-8857-dd78800b808a,https://api.nga.gov/iiif/083e8aa9-3cfb-4040-8857-dd78800b808a,"https://api.nga.gov/iiif/083e8aa9-3cfb-4040-8857-dd78800b808a/full/!200,200/0/default.jpg",4085,2471,,2011-01-31 16:43:27-05
135034,Photograph,1900-1920,cyanotype,Untitled (Woman seated against a clapboard building),e791de77-c1a3-431b-a6e3-a7952ac125d5,https://api.nga.gov/iiif/e791de77-c1a3-431b-a6e3-a7952ac125d5,"https://api.nga.gov/iiif/e791de77-c1a3-431b-a6e3-a7952ac125d5/full/!200,200/0/default.jpg",2839,3584,,2011-01-31 16:41:56-05
135035,Photograph,1900-1920,gelatin silver print,"""?? I can't tell you why I love you...""",83888998-0f6b-404e-bab2-ccff5587dafe,https://api.nga.gov/iiif/83888998-0f6b-404e-bab2-ccff5587dafe,"https://api.nga.gov/iiif/83888998-0f6b-404e-bab2-ccff5587dafe/full/!200,200/0/default.jpg",3094,3718,,2011-01-31 16:48:36-05
135051,Photograph,1900-1920,gelatin silver print,"Untitled (Woman at piano with male ""ghost"")",43901d53-00fa-42b1-9a9d-b8222c9730db,https://api.nga.gov/iiif/43901d53-00fa-42b1-9a9d-b8222c9730db,"https://api.nga.gov/iiif/43901d53-00fa-42b1-9a9d-b8222c9730db/full/!200,200/0/default.jpg",2856,2826,,2011-01-31 16:53:15-05
135052,Photograph,1900-1920,gelatin silver print,"Untitled (Man with female ""ghost"" at the piano)",cf72228b-3c98-413b-8412-35c06af266c0,https://api.nga.gov/iiif/cf72228b-3c98-413b-8412-35c06af266c0,"https://api.nga.gov/iiif/cf72228b-3c98-413b-8412-35c06af266c0/full/!200,200/0/default.jpg",2864,2842,,2011-01-31 16:52:05-05
135297,Photograph,1900-1920,collage of cyanotypes and gelatin silver prints,Photomosaic,054e18fe-2e08-4bd9-9c31-ff49de47c98b,https://api.nga.gov/iiif/054e18fe-2e08-4bd9-9c31-ff49de47c98b,"https://api.nga.gov/iiif/054e18fe-2e08-4bd9-9c31-ff49de47c98b/full/!200,200/0/default.jpg",3867,3310,,2011-02-02 13:10:57-05
137294,Photograph,1900-1920,gelatin silver print,Untitled (Man with mustache sleeping),53ec3916-986b-4cec-a363-881936270cd7,https://api.nga.gov/iiif/53ec3916-986b-4cec-a363-881936270cd7,"https://api.nga.gov/iiif/53ec3916-986b-4cec-a363-881936270cd7/full/!200,200/0/default.jpg",3484,2837,,2011-02-01 12:18:19-05
